word,deprel,score
water,pobj,0.11429099615720395
clock,root,0.4873150474410761
clock,nsubj,0.4137261399103215
clock,nsubj,0.3040720047732266
clock,root,0.4112317943843564
clock,nsubj,0.5060518174374508
clock,pobj,0.06226444498791728
baby,pobj,0.18667747989732356
baby,dobj,0.06345717193086131
baby,dobj,0.04489219560402447
stove,dobj,0.058507873788931526
stove,pobj,0.04437792972983968
stove,amod,0.010753597843430995
clock,root,0.7476837288639009
clock,dobj,0.5965270129254363
clock,root,0.8895705982295093
clock,pobj,0.39108139700168665
baby,nn,0.05457350917037973
water,pobj,0.3557423344700069
water,pobj,0.22856068649536365
water,pobj,0.5539763924254874
water,pobj,0.06981085732542625
water,pobj,0.42774395138982
water,pobj,0.02924142356123138
water,pobj,0.06819952894708026
baby,nn,0.04069134377456862
water,pobj,0.12501394958911327
baby,conj,0.012962422786225392
baby,nn,0.04152944643138168
water,pobj,0.06475941502809046
water,pobj,0.021228105826161192
baby,nsubj,0.044241768460152486
baby,nsubj,0.014679282161525031
water,pobj,0.011185574554613996
baby,nn,0.026507877313545647
water,pobj,0.015996562611539814
water,pobj,0.024968516349046618
water,pobj,0.01860981696655073
zebra,nn,0.8666444703329437
zebra,pobj,0.9004094533133864
water,pobj,0.09564266068739324
water,pobj,0.044361509708696005
water,pobj,0.003132938747882341
water,pobj,0.003178263286665817
baby,nn,0.027859700915230046
light,rcmod,0.061763066096338415
water,pobj,0.5649028088397194
water,nn,0.17501154256892326
water,conj,0.011401271461220051
water,pobj,0.16398664191124335
baby,root,0.6027241787372473
baby,root,0.4667790267494206
baby,nsubj,0.4556266981303896
baby,root,0.4403901708956557
baby,root,0.491711180530296
clock,root,0.06891944371375214
clock,root,0.01988825801623273
clock,root,0.3829391332576777
clock,pobj,0.14959364862681634
clock,root,0.10134061883548606
clock,nn,0.3884376538602573
stove,amod,0.14310398303522132
stove,root,0.2217385620904697
stove,nn,0.007278235078671424
stove,pobj,0.044948295614199
stove,pobj,0.06131848355089864
light,pobj,0.04721834519256773
light,pobj,0.051174594596962164
light,pobj,0.31157926586431267
light,amod,0.03971057880924311
light,pobj,0.018843861778941484
water,pobj,0.27803883136263474
water,pobj,0.184279423127622
water,pobj,0.04206167340624245
water,pobj,0.03883639563515151
baby,nsubj,0.01256478538177408
water,nsubj,0.06712584646026687
baby,nn,0.009733949393729957
zebra,nn,0.077738012298869
zebra,pobj,0.009453433733245586
zebra,pobj,0.5194067382654219
baby,nn,0.010498854367089085
zebra,nsubj,0.9504202057969068
zebra,nsubj,0.03386896014058771
zebra,pobj,0.008693418735947978
water,pobj,0.04312902375182126
water,pobj,0.009972693735841752
water,pobj,0.04940496131222305
clock,nn,0.20332534180311945
clock,nn,0.061800052709201525
clock,nn,0.05085125131761015
clock,nn,0.19256677464678476
clock,pobj,0.0593015055019861
clock,nsubj,0.5360479854522066
clock,nn,0.28582411317795553
clock,nn,0.5435194258496977
clock,nsubj,0.19612517330942286
clock,root,0.23014316722639305
stove,nn,0.10184867187474901
stove,conj,0.1360933632937582
stove,npadvmod,0.048112200363397584
light,nsubj,0.11271475837274204
water,pobj,0.17150979765331786
water,pobj,0.18362432058994368
water,nn,0.1906755523296072
water,nn,0.16364512017271748
water,nn,0.4017800880264401
light,pobj,0.16711310055240466
light,root,0.4522882742361392
light,pobj,0.1669907384719186
light,root,0.32620483961403257
light,pobj,0.018683484417375884
light,amod,0.3237969096546537
baby,pobj,0.0866755808204529
baby,root,0.11232831097734708
water,pobj,0.13515256134938666
water,pobj,0.1359194656515238
water,pobj,0.07128891266308524
water,pobj,0.1985509878917704
water,pobj,0.14620698372220142
water,pobj,0.2931966035928173
baby,pobj,0.04442302675470178
baby,nn,0.12816206818195133
baby,nn,0.01906396152919232
baby,nn,0.024332035760215254
clock,nn,0.11476469374550867
clock,root,0.26220924536164525
clock,root,0.6082419818835354
light,pobj,0.08740440001630434
water,nn,0.24455918120156886
water,pobj,0.048453036241702496
water,pobj,0.05106311145484154
water,pobj,0.050995702212155436
water,pobj,0.16215039597908576
clock,dobj,0.14394020072649938
clock,nn,0.06667874832357645
clock,nn,0.0048510251825683035
